# s t p1 p2 p3 q1 q2 q3 r
9 18 0.372652 0.310873 0.316476 0.310873 0.372652 0.316476 0.763189
9 21 0.358895 0.316264 0.324842 0.316264 0.358895 0.324842 0.825656
9 24 0.354368 0.319292 0.326340 0.319292 0.354368 0.326340 0.868709
9 27 0.347414 0.323181 0.329405 0.323181 0.347414 0.329405 0.904579
9 30 0.344333 0.325421 0.330245 0.325421 0.344333 0.330245 0.929728
9 33 0.340887 0.327691 0.331422 0.327691 0.340887 0.331422 0.949395
9 36 0.339027 0.329098 0.331875 0.329098 0.339027 0.331875 0.963307
9 39 0.337306 0.330327 0.332366 0.330327 0.337306 0.332366 0.973763
9 42 0.336257 0.331133 0.332610 0.331133 0.336257 0.332610 0.981183
9 45 0.335389 0.331776 0.332835 0.331776 0.335389 0.332835 0.986624
9 48 0.334822 0.332212 0.332966 0.332212 0.334822 0.332966 0.990483
9 51 0.334382 0.332542 0.333075 0.332542 0.334382 0.333075 0.993268
9 54 0.334084 0.332770 0.333145 0.332770 0.334084 0.333145 0.995239
9 57 0.333862 0.332937 0.333200 0.332937 0.333862 0.333200 0.996646
9 60 0.333709 0.333054 0.333237 0.333054 0.333709 0.333237 0.997639
9 63 0.333598 0.333137 0.333265 0.333137 0.333598 0.333265 0.998343
9 66 0.333520 0.333196 0.333284 0.333196 0.333520 0.333284 0.998838
9 69 0.333464 0.333237 0.333299 0.333237 0.333464 0.333299 0.999187
9 72 0.333425 0.333266 0.333309 0.333266 0.333425 0.333309 0.999432
9 75 0.333398 0.333287 0.333316 0.333287 0.333398 0.333316 0.999604
9 78 0.333378 0.333301 0.333321 0.333301 0.333378 0.333321 0.999724
9 81 0.333365 0.333311 0.333325 0.333311 0.333365 0.333325 0.999808
9 84 0.333355 0.333318 0.333327 0.333318 0.333355 0.333327 0.999866
9 87 0.333349 0.333322 0.333329 0.333322 0.333349 0.333329 0.999907
9 90 0.333344 0.333326 0.333330 0.333326 0.333344 0.333330 0.999936
9 93 0.333341 0.333328 0.333331 0.333328 0.333341 0.333331 0.999955
9 96 0.333338 0.333330 0.333332 0.333330 0.333338 0.333332 0.999969
9 99 0.333337 0.333331 0.333332 0.333331 0.333337 0.333332 0.999979

12 3 0.328094 0.367392 0.304515 0.367392 0.328094 0.304515 0.162835
12 6 0.289252 0.406069 0.304679 0.406069 0.289252 0.304679 0.267712
12 9 0.305633 0.402375 0.291992 0.402375 0.305633 0.291992 0.405993
12 12 0.292474 0.422680 0.284846 0.292474 0.422680 0.284846 0.500000
12 15 0.394576 0.294885 0.310538 0.294885 0.394576 0.310538 0.596900
12 18 0.384840 0.299776 0.315384 0.299776 0.384840 0.315384 0.673927
12 21 0.370915 0.306268 0.322817 0.306268 0.370915 0.322817 0.746253
12 24 0.363963 0.310905 0.325132 0.310905 0.363963 0.325132 0.801370
12 27 0.355362 0.316087 0.328552 0.316087 0.355362 0.328552 0.849015
12 30 0.350725 0.319629 0.329647 0.319629 0.350725 0.329647 0.884756
12 33 0.345870 0.323069 0.331061 0.323069 0.345870 0.331061 0.913818
12 36 0.342973 0.325436 0.331591 0.325436 0.342973 0.331591 0.935439
12 39 0.340316 0.327503 0.332181 0.327503 0.340316 0.332181 0.952296
12 42 0.338595 0.328952 0.332453 0.328952 0.338595 0.332453 0.964754
12 45 0.337153 0.330129 0.332718 0.330129 0.337153 0.332718 0.974199
12 48 0.336168 0.330966 0.332866 0.330966 0.336168 0.332866 0.981134
12 51 0.335389 0.331615 0.332996 0.331615 0.335389 0.332996 0.986293
12 54 0.334842 0.332080 0.333078 0.332080 0.334842 0.333078 0.990058
12 57 0.334425 0.332429 0.333147 0.332429 0.334425 0.333147 0.992822
12 60 0.334127 0.332680 0.333193 0.332680 0.334127 0.333193 0.994827
12 63 0.333905 0.332864 0.333230 0.332864 0.333905 0.333230 0.996285
12 66 0.333746 0.332997 0.333257 0.332997 0.333746 0.333257 0.997337
12 69 0.333630 0.333093 0.333277 0.333093 0.333630 0.333277 0.998096
12 72 0.333546 0.333162 0.333292 0.333162 0.333546 0.333292 0.998641
12 75 0.333485 0.333211 0.333303 0.333211 0.333485 0.333303 0.999033
12 78 0.333442 0.333247 0.333311 0.333247 0.333442 0.333311 0.999312
12 81 0.333411 0.333272 0.333317 0.333272 0.333411 0.333317 0.999512
12 84 0.333388 0.333290 0.333322 0.333290 0.333388 0.333322 0.999654
12 87 0.333372 0.333303 0.333325 0.333303 0.333372 0.333325 0.999756
