# s t p1 p2 p3 q1 q2 q3 r
33 81 0.336024 0.330969 0.333006 0.330969 0.336024 0.333006 0.973699
33 84 0.335487 0.331441 0.333072 0.331441 0.335487 0.333072 0.979272
33 87 0.335050 0.331826 0.333124 0.331826 0.335050 0.333124 0.983732
33 90 0.334695 0.332138 0.333166 0.332138 0.334695 0.333166 0.987282
33 93 0.334410 0.332390 0.333200 0.332390 0.334410 0.333200 0.990095
33 96 0.334181 0.332592 0.333227 0.332592 0.334181 0.333227 0.992312
33 99 0.333998 0.332754 0.333249 0.332754 0.333998 0.333249 0.994053

36 3 0.332812 0.334399 0.332789 0.334399 0.332812 0.332789 0.006237
36 6 0.330833 0.336353 0.332815 0.336353 0.330833 0.332815 0.015726
36 9 0.329098 0.339027 0.331875 0.339027 0.329098 0.331875 0.036693
36 12 0.325436 0.342973 0.331591 0.342973 0.325436 0.331591 0.064561
36 15 0.322680 0.346975 0.330345 0.346975 0.322680 0.330345 0.104277
36 18 0.318694 0.351788 0.329519 0.351788 0.318694 0.329519 0.151004
36 21 0.315767 0.356252 0.327981 0.356252 0.315767 0.327981 0.205870
36 24 0.312423 0.360703 0.326874 0.360703 0.312423 0.326874 0.264288
36 27 0.310038 0.364762 0.325201 0.364762 0.310038 0.325201 0.325766
36 30 0.307650 0.367851 0.324499 0.367851 0.307650 0.324499 0.386160
36 33 0.306116 0.371192 0.322692 0.371192 0.306116 0.322692 0.445677
36 36 0.304203 0.375952 0.319844 0.304203 0.375952 0.319844 0.500000
36 39 0.369504 0.306782 0.323714 0.306782 0.369504 0.323714 0.552300
36 42 0.365257 0.309011 0.325731 0.309011 0.365257 0.325731 0.604195
36 45 0.361863 0.311333 0.326804 0.311333 0.361863 0.326804 0.653323
36 48 0.358256 0.313645 0.328099 0.313645 0.358256 0.328099 0.699464
36 51 0.355009 0.315914 0.329076 0.315914 0.355009 0.329076 0.741863
36 54 0.351991 0.318068 0.329941 0.318068 0.351991 0.329941 0.780234
36 57 0.349268 0.320095 0.330637 0.320095 0.349268 0.330637 0.814479
36 60 0.346855 0.321949 0.331197 0.321949 0.346855 0.331197 0.844596
36 63 0.344719 0.323634 0.331647 0.323634 0.344719 0.331647 0.870798
36 66 0.342872 0.325131 0.331998 0.325131 0.342872 0.331998 0.893312
36 69 0.341270 0.326453 0.332277 0.326453 0.341270 0.332277 0.912481
36 72 0.339906 0.327601 0.332494 0.327601 0.339906 0.332494 0.928635
36 75 0.338744 0.328591 0.332665 0.328591 0.338744 0.332665 0.942142
36 78 0.337767 0.329434 0.332799 0.329434 0.337767 0.332799 0.953341
36 81 0.336947 0.330147 0.332906 0.330147 0.336947 0.332906 0.962562
36 84 0.336266 0.330744 0.332990 0.330744 0.336266 0.332990 0.970101
36 87 0.335702 0.331240 0.333057 0.331240 0.335702 0.333057 0.976229
36 90 0.335239 0.331650 0.333111 0.331650 0.335239 0.333111 0.981181
36 93 0.334859 0.331987 0.333154 0.331987 0.334859 0.333154 0.985160
36 96 0.334550 0.332261 0.333189 0.332261 0.334550 0.333189 0.988342
36 99 0.334300 0.332483 0.333218 0.332483 0.334300 0.333218 0.990874

39 3 0.332998 0.334014 0.332988 0.334014 0.332998 0.332988 0.004136
39 6 0.331665 0.335335 0.333000 0.335335 0.331665 0.333000 0.010837
39 9 0.330327 0.337306 0.332366 0.337306 0.330327 0.332366 0.026237
39 12 0.327503 0.340316 0.332181 0.340316 0.327503 0.332181 0.047704
39 15 0.325110 0.343573 0.331318 0.343573 0.325110 0.331318 0.079477
39 18 0.321624 0.347687 0.330688 0.347687 0.321624 0.330688 0.118479
39 21 0.318803 0.351624 0.329573 0.351624 0.318803 0.329573 0.165821
39 24 0.315529 0.355974 0.328497 0.355974 0.315529 0.328497 0.218344
39 27 0.312983 0.359712 0.327306 0.359712 0.312983 0.327306 0.275046
39 30 0.310402 0.363603 0.325995 0.363603 0.310402 0.325995 0.333304
39 33 0.308522 0.366256 0.325222 0.366256 0.308522 0.325222 0.391243
39 36 0.306782 0.369504 0.323714 0.369504 0.306782 0.323714 0.447700
39 39 0.305197 0.373812 0.320991 0.305197 0.373812 0.320991 0.500000
39 42 0.368133 0.307571 0.324296 0.307571 0.368133 0.324296 0.550005
39 45 0.364082 0.309671 0.326248 0.309671 0.364082 0.326248 0.600215
39 48 0.361128 0.311779 0.327093 0.311779 0.361128 0.327093 0.647623
39 51 0.357677 0.313971 0.328353 0.313971 0.357677 0.328353 0.692690
39 54 0.354743 0.316069 0.329188 0.316069 0.354743 0.329188 0.734163
39 57 0.351842 0.318125 0.330033 0.318125 0.351842 0.330033 0.772129
39 60 0.349306 0.320035 0.330659 0.320035 0.349306 0.330659 0.806165
39 63 0.346965 0.321823 0.331211 0.321823 0.346965 0.331211 0.836424
39 66 0.344925 0.323442 0.331633 0.323442 0.344925 0.331633 0.862922
39 69 0.343110 0.324907 0.331983 0.324907 0.343110 0.331983 0.885923
39 72 0.341543 0.326203 0.332254 0.326203 0.341543 0.332254 0.905659
39 75 0.340183 0.327345 0.332472 0.327345 0.340183 0.332472 0.922456
39 78 0.339022 0.328335 0.332642 0.328335 0.339022 0.332642 0.936617
39 81 0.338032 0.329189 0.332779 0.329189 0.338032 0.332779 0.948471
39 84 0.337197 0.329917 0.332886 0.329917 0.337197 0.332886 0.958316
39 87 0.336494 0.330533 0.332973 0.330533 0.336494 0.332973 0.966441
39 90 0.335909 0.331050 0.333042 0.331050 0.335909 0.333042 0.973102
39 93 0.335422 0.331481 0.333097 0.331481 0.335422 0.333097 0.978533
39 96 0.335020 0.331838 0.333142 0.331838 0.335020 0.333142 0.982936
39 99 0.334690 0.332132 0.333179 0.332132 0.334690 0.333179 0.986488

42 3 0.333102 0.333801 0.333097 0.333801 0.333102 0.333097 0.002769
42 6 0.332178 0.334743 0.333079 0.334743 0.332178 0.333079 0.007519
42 9 0.331133 0.336257 0.332610 0.336257 0.331133 0.332610 0.018817
42 12 0.328952 0.338595 0.332453 0.338595 0.328952 0.332453 0.035246
42 15 0.326904 0.341307 0.331790 0.341307 0.326904 0.331790 0.060438
42 18 0.323933 0.344743 0.331325 0.344743 0.323933 0.331325 0.092486
42 21 0.321300 0.348286 0.330414 0.348286 0.321300 0.330414 0.132758
42 24 0.318250 0.352139 0.329612 0.352139 0.318250 0.329612 0.178848
42 27 0.315654 0.355880 0.328466 0.355880 0.315654 0.328466 0.230351
42 30 0.313049 0.359402 0.327549 0.359402 0.313049 0.327549 0.284585
42 33 0.310932 0.362782 0.326285 0.362782 0.310932 0.326285 0.340645
42 36 0.309011 0.365257 0.325731 0.365257 0.309011 0.325731 0.395805
42 39 0.307571 0.368133 0.324296 0.368133 0.307571 0.324296 0.449995
42 42 0.305875 0.372221 0.321904 0.305875 0.372221 0.321904 0.500000
42 45 0.366824 0.308189 0.324987 0.308189 0.366824 0.324987 0.548296
42 48 0.363193 0.310154 0.326653 0.310154 0.363193 0.326653 0.596609
42 51 0.360372 0.312164 0.327464 0.312164 0.360372 0.327464 0.642690
42 54 0.357237 0.314210 0.328553 0.314210 0.357237 0.328553 0.686514
42 57 0.354430 0.316215 0.329355 0.316215 0.354430 0.329355 0.727237
42 60 0.351736 0.318153 0.330110 0.318153 0.351736 0.330110 0.764645
42 63 0.349293 0.319991 0.330716 0.319991 0.349293 0.330716 0.798498
42 66 0.347072 0.321702 0.331227 0.321702 0.347072 0.331227 0.828758
42 69 0.345085 0.323275 0.331640 0.323275 0.345085 0.331640 0.855499
42 72 0.343327 0.324700 0.331973 0.324700 0.343327 0.331973 0.878869
42 75 0.341781 0.325977 0.332242 0.325977 0.341781 0.332242 0.899099
42 78 0.340438 0.327107 0.332455 0.327107 0.340438 0.332455 0.916446
42 81 0.339276 0.328098 0.332626 0.328098 0.339276 0.332626 0.931200
42 84 0.338280 0.328958 0.332762 0.328958 0.338280 0.332762 0.943646
42 87 0.337431 0.329698 0.332871 0.329698 0.337431 0.332871 0.954073
42 90 0.336712 0.330329 0.332958 0.330329 0.336712 0.332958 0.962746
42 93 0.336107 0.330865 0.333028 0.330865 0.336107 0.333028 0.969918
42 96 0.335600 0.331315 0.333085 0.331315 0.335600 0.333085 0.975812
42 99 0.335178 0.331691 0.333131 0.331691 0.335178 0.333131 0.980629

45 3 0.333182 0.333638 0.333180 0.333638 0.333182 0.333180 0.001840
45 6 0.332557 0.334282 0.333160 0.334282 0.332557 0.333160 0.005176
45 9 0.331776 0.335389 0.332835 0.335389 0.331776 0.332835 0.013376
45 12 0.330129 0.337153 0.332718 0.337153 0.330129 0.332718 0.025801
45 15 0.328445 0.339311 0.332245 0.339311 0.328445 0.332245 0.045490
45 18 0.325961 0.342138 0.331902 0.342138 0.325961 0.331902 0.071450
45 21 0.323603 0.345162 0.331235 0.345162 0.323603 0.331235 0.105089
45 24 0.320801 0.348623 0.330576 0.348623 0.320801 0.330576 0.144907
45 27 0.318282 0.352010 0.329709 0.352010 0.318282 0.329709 0.190630
45 30 0.315667 0.355553 0.328780 0.355553 0.315667 0.328780 0.240415
45 33 0.313446 0.358681 0.327873 0.358681 0.313446 0.327873 0.292973
45 36 0.311333 0.361863 0.326804 0.361863 0.311333 0.326804 0.346677
45 39 0.309671 0.364082 0.326248 0.364082 0.309671 0.326248 0.399785
45 42 0.308189 0.366824 0.324987 0.366824 0.308189 0.324987 0.451704
45 45 0.306660 0.370611 0.322729 0.306660 0.370611 0.322729 0.500000
45 48 0.365702 0.308832 0.325467 0.308832 0.365702 0.325467 0.546543
45 51 0.362266 0.310691 0.327043 0.310691 0.362266 0.327043 0.593388
45 54 0.359721 0.312554 0.327724 0.312554 0.359721 0.327724 0.638084
45 57 0.356744 0.314496 0.328759 0.314496 0.356744 0.328759 0.680900
45 60 0.354150 0.316378 0.329472 0.316378 0.354150 0.329472 0.720798
45 63 0.351576 0.318229 0.330195 0.318229 0.351576 0.330195 0.757728
45 66 0.349272 0.319975 0.330753 0.319975 0.349272 0.330753 0.791305
45 69 0.347128 0.321624 0.331248 0.321624 0.347128 0.331248 0.821552
45 72 0.345219 0.323142 0.331639 0.323142 0.345219 0.331639 0.848440
45 75 0.343502 0.324531 0.331967 0.324531 0.343502 0.331967 0.872124
45 78 0.341991 0.325781 0.332227 0.325781 0.341991 0.332227 0.892764
45 81 0.340662 0.326898 0.332440 0.326898 0.340662 0.332440 0.910601
45 84 0.339507 0.327884 0.332609 0.327884 0.339507 0.332609 0.925881
45 87 0.338508 0.328747 0.332746 0.328747 0.338508 0.332746 0.938873
45 90 0.337650 0.329495 0.332855 0.329495 0.337650 0.332855 0.949837
45 93 0.336918 0.330139 0.332944 0.330139 0.336918 0.332944 0.959029
45 96 0.336296 0.330688 0.333015 0.330688 0.336296 0.333015 0.966686
45 99 0.335772 0.331154 0.333073 0.331154 0.335772 0.333073 0.973027

48 3 0.333230 0.333540 0.333230 0.333540 0.333230 0.333230 0.001230
48 6 0.332801 0.333994 0.333205 0.333994 0.332801 0.333205 0.003576
48 9 0.332212 0.334822 0.332966 0.334822 0.332212 0.332966 0.009517
48 12 0.330966 0.336168 0.332866 0.336168 0.330966 0.332866 0.018866
48 15 0.329592 0.337905 0.332503 0.337905 0.329592 0.332503 0.034142
48 18 0.327543 0.340215 0.332242 0.340215 0.327543 0.332242 0.054941
48 21 0.325469 0.342813 0.331718 0.342813 0.325469 0.331718 0.082714
48 24 0.322969 0.345813 0.331218 0.345813 0.322969 0.331218 0.116553
48 27 0.320583 0.348931 0.330486 0.348931 0.320583 0.330486 0.156562
48 30 0.318078 0.352153 0.329769 0.352153 0.318078 0.329769 0.201262
48 33 0.315806 0.355336 0.328859 0.355336 0.315806 0.328859 0.249863
48 36 0.313645 0.358256 0.328099 0.358256 0.313645 0.328099 0.300536
48 39 0.311779 0.361128 0.327093 0.361128 0.311779 0.327093 0.352377
48 42 0.310154 0.363193 0.326653 0.363193 0.310154 0.326653 0.403391
48 45 0.308832 0.365702 0.325467 0.365702 0.308832 0.325467 0.453457
48 48 0.307288 0.369289 0.323423 0.307288 0.369289 0.323423 0.500000
48 51 0.364646 0.309385 0.325969 0.309385 0.364646 0.325969 0.545102
48 54 0.361491 0.311139 0.327370 0.311139 0.361491 0.327370 0.590444
48 57 0.359081 0.312911 0.328008 0.312911 0.359081 0.328008 0.633971
48 60 0.356324 0.314742 0.328934 0.314742 0.356324 0.328934 0.675736
48 63 0.353854 0.316537 0.329609 0.316537 0.353854 0.329609 0.714907
48 66 0.351433 0.318296 0.330271 0.318296 0.351433 0.330271 0.751297
48 69 0.349222 0.319974 0.330804 0.319974 0.349222 0.330804 0.784605
48 72 0.347174 0.321557 0.331269 0.321557 0.347174 0.331269 0.814763
48 75 0.345323 0.323029 0.331648 0.323029 0.345323 0.331648 0.841757
48 78 0.343657 0.324380 0.331963 0.324380 0.343657 0.331963 0.865676
48 81 0.342174 0.325606 0.332219 0.325606 0.342174 0.332219 0.886668
48 84 0.340865 0.326707 0.332427 0.326707 0.340865 0.332427 0.904928
48 87 0.339717 0.327687 0.332596 0.327687 0.339717 0.332596 0.920682
48 90 0.338719 0.328550 0.332732 0.328550 0.338719 0.332732 0.934167
48 93 0.337855 0.329303 0.332842 0.329303 0.337855 0.332842 0.945629
48 96 0.337112 0.329957 0.332931 0.329957 0.337112 0.332931 0.955306
48 99 0.336478 0.330519 0.333003 0.330519 0.336478 0.333003 0.963424

51 3 0.333266 0.333469 0.333265 0.333469 0.333266 0.333265 0.000818
51 6 0.332974 0.333781 0.333244 0.333781 0.332974 0.333244 0.002459
51 9 0.332542 0.334382 0.333075 0.334382 0.332542 0.333075 0.006732
51 12 0.331615 0.335389 0.332996 0.335389 0.331615 0.332996 0.013707
51 15 0.330522 0.336749 0.332730 0.336749 0.330522 0.332730 0.025438
51 18 0.328861 0.338607 0.332532 0.338607 0.328861 0.332532 0.041917
51 21 0.327086 0.340771 0.332143 0.340771 0.327086 0.332143 0.064540
51 24 0.324893 0.343353 0.331754 0.343353 0.324893 0.331754 0.092917
51 27 0.322705 0.346100 0.331195 0.346100 0.322705 0.331195 0.127348
51 30 0.320338 0.349081 0.330580 0.349081 0.320338 0.330580 0.166906
51 33 0.318114 0.352018 0.329868 0.352018 0.318114 0.329868 0.210925
51 36 0.315914 0.355009 0.329076 0.355009 0.315914 0.329076 0.258137
51 39 0.313971 0.357677 0.328353 0.357677 0.313971 0.328353 0.307310
51 42 0.312164 0.360372 0.327464 0.360372 0.312164 0.327464 0.357310
51 45 0.310691 0.362266 0.327043 0.362266 0.310691 0.327043 0.406612
51 48 0.309385 0.364646 0.325969 0.364646 0.309385 0.325969 0.454898
51 51 0.307940 0.368014 0.324047 0.307940 0.368014 0.324047 0.500000
51 54 0.363709 0.309929 0.326362 0.309929 0.363709 0.326362 0.543697
51 57 0.360727 0.311596 0.327677 0.311596 0.360727 0.327677 0.587772
51 60 0.358507 0.313259 0.328234 0.313259 0.358507 0.328234 0.630143
51 63 0.355892 0.315002 0.329106 0.315002 0.355892 0.329106 0.670989
51 66 0.353578 0.316702 0.329720 0.316702 0.353578 0.329720 0.709416
51 69 0.351267 0.318385 0.330348 0.318385 0.351267 0.330348 0.745309
51 72 0.349164 0.319989 0.330847 0.319989 0.349164 0.330847 0.778305
51 75 0.347191 0.321516 0.331293 0.321516 0.347191 0.331293 0.808357
51 78 0.345407 0.322938 0.331655 0.322938 0.345407 0.331655 0.835398
51 81 0.343784 0.324254 0.331962 0.324254 0.343784 0.331962 0.859507
51 84 0.342336 0.325453 0.332211 0.325453 0.342336 0.332211 0.880791
51 87 0.341045 0.326538 0.332417 0.326538 0.341045 0.332417 0.899423
51 90 0.339909 0.327508 0.332583 0.327508 0.339909 0.332583 0.915597
51 93 0.338912 0.328369 0.332719 0.328369 0.338912 0.332719 0.929534
51 96 0.338046 0.329125 0.332829 0.329125 0.338046 0.332829 0.941456
51 99 0.337295 0.329786 0.332919 0.329786 0.337295 0.332919 0.951587

54 3 0.333288 0.333425 0.333288 0.333425 0.333288 0.333288 0.000546
54 6 0.333088 0.333643 0.333269 0.333643 0.333088 0.333269 0.001693
54 9 0.332770 0.334084 0.333145 0.334084 0.332770 0.333145 0.004761
54 12 0.332080 0.334842 0.333078 0.334842 0.332080 0.333078 0.009942
54 15 0.331215 0.335910 0.332875 0.335910 0.331215 0.332875 0.018896
54 18 0.329880 0.337400 0.332719 0.337400 0.329880 0.332719 0.031844
54 21 0.328381 0.339203 0.332416 0.339203 0.328381 0.332416 0.050099
54 24 0.326492 0.341391 0.332117 0.341391 0.326492 0.332117 0.073607
54 27 0.324521 0.343811 0.331668 0.343811 0.324521 0.331668 0.102876
54 30 0.322347 0.346466 0.331188 0.346466 0.322347 0.331188 0.137335
54 33 0.320211 0.349220 0.330569 0.349220 0.320211 0.330569 0.176658
54 36 0.318068 0.351991 0.329941 0.351991 0.318068 0.329941 0.219766
54 39 0.316069 0.354743 0.329188 0.354743 0.316069 0.329188 0.265837
54 42 0.314210 0.357237 0.328553 0.357237 0.314210 0.328553 0.313486
54 45 0.312554 0.359721 0.327724 0.359721 0.312554 0.327724 0.361916
54 48 0.311139 0.361491 0.327370 0.361491 0.311139 0.327370 0.409556
54 51 0.309929 0.363709 0.326362 0.363709 0.309929 0.326362 0.456303
54 54 0.308504 0.366907 0.324589 0.308504 0.366907 0.324589 0.500000
54 57 0.362832 0.310420 0.326748 0.310420 0.362832 0.326748 0.542473
54 60 0.360053 0.312002 0.327945 0.312002 0.360053 0.327945 0.585311
54 63 0.357953 0.313585 0.328462 0.313585 0.357953 0.328462 0.626655
54 66 0.355502 0.315239 0.329259 0.315239 0.355502 0.329259 0.666591
54 69 0.353299 0.316865 0.329836 0.316865 0.353299 0.329836 0.704334
54 72 0.351108 0.318472 0.330420 0.318472 0.351108 0.330420 0.739710
54 75 0.349091 0.320014 0.330895 0.320014 0.349091 0.330895 0.772397
54 78 0.347198 0.321485 0.331317 0.321485 0.347198 0.331317 0.802300
54 81 0.345469 0.322863 0.331667 0.322863 0.345469 0.331667 0.829355
54 84 0.343894 0.324143 0.331963 0.324143 0.343894 0.331963 0.853603
54 87 0.342476 0.325317 0.332207 0.325317 0.342476 0.332207 0.875131
54 90 0.341208 0.326384 0.332408 0.326384 0.341208 0.332408 0.894084
54 93 0.340083 0.327344 0.332573 0.327344 0.340083 0.332573 0.910636
54 96 0.339092 0.328201 0.332708 0.328201 0.339092 0.332708 0.924982
54 99 0.338224 0.328958 0.332818 0.328958 0.338224 0.332818 0.937328

57 3 0.333303 0.333394 0.333303 0.333394 0.333303 0.333303 0.000364
57 6 0.333168 0.333544 0.333288 0.333544 0.333168 0.333288 0.001163
57 9 0.332937 0.333862 0.333200 0.333862 0.332937 0.333200 0.003354
57 12 0.332429 0.334425 0.333147 0.334425 0.332429 0.333147 0.007178
57 15 0.331757 0.335249 0.332994 0.335249 0.331757 0.332994 0.013961
57 18 0.330699 0.336428 0.332873 0.336428 0.330699 0.332873 0.024046
57 21 0.329456 0.337901 0.332643 0.337901 0.329456 0.332643 0.038626
57 24 0.327853 0.339736 0.332411 0.339736 0.327853 0.332411 0.057891
57 27 0.326117 0.341817 0.332067 0.341817 0.326117 0.332067 0.082455
57 30 0.324151 0.344170 0.331679 0.344170 0.324151 0.331679 0.112094
57 33 0.322158 0.346652 0.331191 0.346652 0.322158 0.331191 0.146683
57 36 0.320095 0.349268 0.330637 0.349268 0.320095 0.330637 0.185521
57 39 0.318125 0.351842 0.330033 0.351842 0.318125 0.330033 0.227871
57 42 0.316215 0.354430 0.329355 0.354430 0.316215 0.329355 0.272763
57 45 0.314496 0.356744 0.328759 0.356744 0.314496 0.328759 0.319100
57 48 0.312911 0.359081 0.328008 0.359081 0.312911 0.328008 0.366029
57 51 0.311596 0.360727 0.327677 0.360727 0.311596 0.327677 0.412228
57 54 0.310420 0.362832 0.326748 0.362832 0.310420 0.326748 0.457527
57 57 0.309062 0.365860 0.325078 0.309062 0.365860 0.325078 0.500000
57 60 0.362037 0.310892 0.327071 0.310892 0.362037 0.327071 0.541307
57 63 0.359405 0.312401 0.328195 0.312401 0.359405 0.328195 0.583048
57 66 0.357444 0.313900 0.328656 0.313900 0.357444 0.328656 0.623403
57 69 0.355116 0.315479 0.329405 0.315479 0.355116 0.329405 0.662511
57 72 0.353034 0.317028 0.329938 0.317028 0.353034 0.329938 0.699579
57 75 0.350940 0.318569 0.330491 0.318569 0.350940 0.330491 0.734465
57 78 0.349012 0.320049 0.330938 0.320049 0.349012 0.330938 0.766823
57 81 0.347187 0.321469 0.331343 0.321469 0.347187 0.331343 0.796565
57 84 0.345518 0.322804 0.331678 0.322804 0.345518 0.331678 0.823596
57 87 0.343984 0.324050 0.331966 0.324050 0.343984 0.331966 0.847946
57 90 0.342600 0.325198 0.332203 0.325198 0.342600 0.332203 0.869676
57 93 0.341353 0.326246 0.332401 0.326246 0.341353 0.332401 0.888909
57 96 0.340242 0.327195 0.332563 0.327195 0.340242 0.332563 0.905795
57 99 0.339257 0.328046 0.332697 0.328046 0.339257 0.332697 0.920513

60 3 0.333313 0.333374 0.333313 0.333374 0.333313 0.333313 0.000243
60 6 0.333220 0.333478 0.333301 0.333478 0.333220 0.333301 0.000799
60 9 0.333054 0.333709 0.333237 0.333709 0.333054 0.333237 0.002361
60 12 0.332680 0.334127 0.333193 0.334127 0.332680 0.333193 0.005173
60 15 0.332161 0.334763 0.333076 0.334763 0.332161 0.333076 0.010284
60 18 0.331327 0.335693 0.332979 0.335693 0.331327 0.332979 0.018089
60 21 0.330308 0.336893 0.332799 0.336893 0.330308 0.332799 0.029642
60 24 0.328964 0.338418 0.332618 0.338418 0.328964 0.332618 0.045281
60 27 0.327456 0.340199 0.332346 0.340199 0.327456 0.332346 0.065688
60 30 0.325711 0.342248 0.332042 0.342248 0.325711 0.332042 0.090872
60 33 0.323880 0.344479 0.331641 0.344479 0.323880 0.331641 0.120930
60 36 0.321949 0.346855 0.331197 0.346855 0.321949 0.331197 0.155404
60 39 0.320035 0.349306 0.330659 0.349306 0.320035 0.330659 0.193835
60 42 0.318153 0.351736 0.330110 0.351736 0.318153 0.330110 0.235355
60 45 0.316378 0.354150 0.329472 0.354150 0.316378 0.329472 0.279202
60 48 0.314742 0.356324 0.328934 0.356324 0.314742 0.328934 0.324264
60 51 0.313259 0.358507 0.328234 0.358507 0.313259 0.328234 0.369857
60 54 0.312002 0.360053 0.327945 0.360053 0.312002 0.327945 0.414689
60 57 0.310892 0.362037 0.327071 0.362037 0.310892 0.327071 0.458693
60 60 0.309566 0.364922 0.325512 0.309566 0.364922 0.325512 0.500000
60 63 0.361293 0.311328 0.327379 0.311328 0.361293 0.327379 0.540258
60 66 0.358815 0.312767 0.328418 0.312767 0.358815 0.328418 0.580951
60 69 0.356958 0.314198 0.328844 0.314198 0.356958 0.328844 0.620401
60 72 0.354757 0.315704 0.329538 0.315704 0.354757 0.329538 0.658707
60 75 0.352772 0.317188 0.330039 0.317188 0.352772 0.330039 0.695140
60 78 0.350776 0.318666 0.330558 0.318666 0.350776 0.330558 0.729535
60 81 0.348925 0.320092 0.330984 0.320092 0.348925 0.330984 0.761566
60 84 0.347169 0.321462 0.331369 0.321462 0.347169 0.331369 0.791123
60 87 0.345551 0.322757 0.331692 0.322757 0.345551 0.331692 0.818108
60 90 0.344061 0.323969 0.331970 0.323969 0.344061 0.331970 0.842524
60 93 0.342707 0.325092 0.332201 0.325092 0.342707 0.332201 0.864419
60 96 0.341484 0.326122 0.332395 0.326122 0.341484 0.332395 0.883893
60 99 0.340387 0.327058 0.332555 0.327058 0.340387 0.332555 0.901077

63 3 0.333320 0.333360 0.333320 0.333360 0.333320 0.333320 0.000162
63 6 0.333257 0.333432 0.333311 0.333432 0.333257 0.333311 0.000548
63 9 0.333137 0.333598 0.333265 0.333598 0.333137 0.333265 0.001657
63 12 0.332864 0.333905 0.333230 0.333905 0.332864 0.333230 0.003715
63 15 0.332468 0.334390 0.333142 0.334390 0.332468 0.333142 0.007544
63 18 0.331819 0.335116 0.333065 0.335116 0.331819 0.333065 0.013542
63 21 0.330993 0.336081 0.332926 0.336081 0.330993 0.332926 0.022625
63 24 0.329882 0.337335 0.332783 0.337335 0.329882 0.332783 0.035208
63 27 0.328593 0.338836 0.332571 0.338836 0.328593 0.332571 0.051990
63 30 0.327065 0.340604 0.332331 0.340604 0.327065 0.332331 0.073164
63 33 0.325418 0.342568 0.332015 0.342568 0.325418 0.332015 0.098968
63 36 0.323634 0.344719 0.331647 0.344719 0.323634 0.331647 0.129202
63 39 0.321823 0.346965 0.331211 0.346965 0.321823 0.331211 0.163576
63 42 0.319991 0.349293 0.330716 0.349293 0.319991 0.330716 0.201502
63 45 0.318229 0.351576 0.330195 0.351576 0.318229 0.330195 0.242272
63 48 0.316537 0.353854 0.329609 0.353854 0.316537 0.329609 0.285093
63 51 0.315002 0.355892 0.329106 0.355892 0.315002 0.329106 0.329011
63 54 0.313585 0.357953 0.328462 0.357953 0.313585 0.328462 0.373345
63 57 0.312401 0.359405 0.328195 0.359405 0.312401 0.328195 0.416952
63 60 0.311328 0.361293 0.327379 0.361293 0.311328 0.327379 0.459742
63 63 0.310053 0.364041 0.325906 0.310053 0.364041 0.325906 0.500000
63 66 0.360608 0.311744 0.327648 0.311744 0.360608 0.327648 0.539267
63 69 0.358254 0.313122 0.328624 0.313122 0.358254 0.328624 0.579005
63 72 0.356504 0.314484 0.329012 0.314484 0.356504 0.329012 0.617594
63 75 0.354409 0.315926 0.329665 0.315926 0.354409 0.329665 0.655154
63 78 0.352521 0.317347 0.330132 0.317347 0.352521 0.330132 0.690970
63 81 0.350609 0.318767 0.330624 0.318767 0.350609 0.330624 0.724893
63 84 0.348833 0.320140 0.331027 0.320140 0.348833 0.331027 0.756591
63 87 0.347139 0.321465 0.331396 0.321465 0.347139 0.331396 0.785954
63 90 0.345574 0.322720 0.331706 0.322720 0.345574 0.331706 0.812867
63 93 0.344124 0.323901 0.331975 0.323901 0.344124 0.331975 0.837323
63 96 0.342801 0.324999 0.332200 0.324999 0.342801 0.332200 0.859349
63 99 0.341600 0.326010 0.332390 0.326010 0.341600 0.332390 0.879030

66 3 0.333324 0.333351 0.333324 0.333351 0.333324 0.333324 0.000108
66 6 0.333281 0.333401 0.333317 0.333401 0.333281 0.333317 0.000376
66 9 0.333196 0.333520 0.333284 0.333520 0.333196 0.333284 0.001162
66 12 0.332997 0.333746 0.333257 0.333746 0.332997 0.333257 0.002663
66 15 0.332696 0.334115 0.333189 0.334115 0.332696 0.333189 0.005520
66 18 0.332193 0.334680 0.333127 0.334680 0.332193 0.333127 0.010103
66 21 0.331530 0.335452 0.333018 0.335452 0.331530 0.333018 0.017198
66 24 0.330620 0.336476 0.332904 0.336476 0.330620 0.332904 0.027245
66 27 0.329530 0.337734 0.332736 0.337734 0.329530 0.332736 0.040930
66 30 0.328211 0.339242 0.332546 0.339242 0.328211 0.332546 0.058559
66 33 0.326748 0.340960 0.332292 0.340960 0.326748 0.332292 0.080485
66 36 0.325131 0.342872 0.331998 0.342872 0.325131 0.331998 0.106688
66 39 0.323442 0.344925 0.331633 0.344925 0.323442 0.331633 0.137078
66 42 0.321702 0.347072 0.331227 0.347072 0.321702 0.331227 0.171242
66 45 0.319975 0.349272 0.330753 0.349272 0.319975 0.330753 0.208695
66 48 0.318296 0.351433 0.330271 0.351433 0.318296 0.330271 0.248703
66 51 0.316702 0.353578 0.329720 0.353578 0.316702 0.329720 0.290584
66 54 0.315239 0.355502 0.329259 0.355502 0.315239 0.329259 0.333409
66 57 0.313900 0.357444 0.328656 0.357444 0.313900 0.328656 0.376597
66 60 0.312767 0.358815 0.328418 0.358815 0.312767 0.328418 0.419049
66 63 0.311744 0.360608 0.327648 0.360608 0.311744 0.327648 0.460733
